scenario,split,region,wake_loss,weight
base,1000,BE2 0AC_00000 0 offwind-dc,0.0,8.586082516602239e-11
base,1000,BE2 0AC_00002 0 offwind-dc,0.0,5.6281314080878884e-11
base,1000,DE2 0AC_00000 0 offwind-dc,0.0,1665.6766502445844
base,1000,DE2 0AC_00001 0 offwind-dc,0.0,4.478776639070712e-10
base,1000,DE2 0AC_00002 0 offwind-dc,0.0,165.5804165686554
base,1000,DE2 0AC_00003 0 offwind-dc,0.0,1056.3522500023912
base,1000,DE2 0AC_00004 0 offwind-dc,0.0,4.209618072199213e-10
base,1000,DE2 0AC_00005 0 offwind-dc,0.0,282.8753824147738
base,1000,DE2 0AC_00006 0 offwind-dc,0.0,2179.6375630796733
base,1000,DE2 0AC_00007 0 offwind-dc,0.0,1.263638617224061e-09
base,1000,DE2 0AC_00008 0 offwind-dc,0.0,4.97051321576924e-10
base,1000,DE2 0AC_00009 0 offwind-dc,0.0,1.6776036856666046e-09
base,1000,DE2 0AC_00010 0 offwind-dc,0.0,2593.505177141457
base,1000,DE2 0AC_00011 0 offwind-dc,0.0,6.021228422404885e-10
base,1000,DE2 0AC_00012 0 offwind-dc,0.0,2106.9276246614845
base,1000,DE2 0AC_00013 0 offwind-dc,0.0,6.40181719734859e-10
base,1000,DE2 0AC_00014 0 offwind-dc,0.0,5.1001675809308576e-08
base,1000,DE2 0AC_00015 0 offwind-dc,0.0,2975.964037688818
base,1000,DE2 0AC_00016 0 offwind-dc,0.0,1626.5070246661382
base,1000,DE2 0AC_00017 0 offwind-dc,0.0,1493.3245475106294
base,1000,DE2 0AC_00018 0 offwind-dc,0.0,1300.0158980592191
base,1000,DE2 0AC_00019 0 offwind-dc,0.0,5.621993869018884e-11
base,1000,DE2 0AC_00020 0 offwind-dc,0.0,623.77859880674
base,1000,DE2 0AC_00021 0 offwind-dc,0.0,3016.015935957206
base,1000,DE2 0AC_00022 0 offwind-dc,0.0,2593.6371130640805
base,1000,DE2 0AC_00023 0 offwind-dc,0.0,427.88039048351067
base,1000,DE2 0AC_00024 0 offwind-dc,0.0,644.4493853386854
base,1000,DE2 0AC_00025 0 offwind-dc,0.0,73.54323312291355
base,1000,DE2 0AC_00026 0 offwind-dc,0.0,1.3152700593042535e-10
base,1000,DE2 0AC_00027 0 offwind-dc,0.0,4.425877287843591e-10
base,1000,DE2 0AC_00028 0 offwind-dc,0.0,155.0789089768909
base,1000,DE2 0AC_00030 0 offwind-dc,0.0,7.634615898514791e-11
base,1000,DE2 0AC_00031 0 offwind-dc,0.0,3.053287724499932e-10
base,1000,DE2 0AC_00032 0 offwind-dc,0.0,517.3017181176227
base,1000,DK2 0AC_00001 0 offwind-dc,0.0,1.926710437562748e-11
base,1000,DK2 0AC_00002 0 offwind-dc,0.0,1.87350447784355e-11
base,1000,DK2 0AC_00006 0 offwind-dc,0.0,2.4982052305112993e-11
base,1000,DK2 0AC_00007 0 offwind-dc,0.0,2.067957330787757e-11
base,1000,DK2 0AC_00008 0 offwind-dc,0.0,1.8412391023876557e-11
base,1000,DK2 0AC_00009 0 offwind-dc,0.0,1.8333366995421886e-11
base,1000,DK2 0AC_00010 0 offwind-dc,0.0,2.0033412577464572e-11
base,1000,DK2 0AC_00012 0 offwind-dc,0.0,2.6043996218948505e-11
base,1000,DK2 0AC_00013 0 offwind-dc,0.0,2.1017752955811812e-11
base,1000,DK2 0AC_00014 0 offwind-dc,0.0,1.8051950486774988e-11
base,1000,DK2 0AC_00015 0 offwind-dc,0.0,3.645804823131363e-11
base,1000,DK2 0AC_00016 0 offwind-dc,0.0,1.896703523702588e-11
base,1000,DK2 0AC_00017 0 offwind-dc,0.0,2.0233468342579286e-11
base,1000,DK2 0AC_00018 0 offwind-dc,0.0,2.5059845153947737e-11
base,1000,DK2 0AC_00019 0 offwind-dc,0.0,3.915661587169015e-11
base,1000,DK2 0AC_00020 0 offwind-dc,0.0,2.2094078578355036e-11
base,1000,DK2 0AC_00021 0 offwind-dc,0.0,1.942709138759407e-11
base,1000,DK2 0AC_00022 0 offwind-dc,0.0,2.0072705550154406e-11
base,1000,DK2 0AC_00023 0 offwind-dc,0.0,2.5753062657865057e-11
base,1000,DK2 0AC_00024 0 offwind-dc,0.0,6.110678161283426e-11
base,1000,DK2 0AC_00025 0 offwind-dc,0.0,1.930065778958751e-11
base,1000,DK2 0AC_00026 0 offwind-dc,0.0,3.443411279745786e-11
base,1000,DK2 0AC_00027 0 offwind-dc,0.0,1891.954514972181
base,1000,DK2 0AC_00028 0 offwind-dc,0.0,1.2447857156921933e-10
base,1000,DK2 0AC_00029 0 offwind-dc,0.0,2.1980507915306952e-11
base,1000,DK2 0AC_00030 0 offwind-dc,0.0,3.116786982493879e-11
base,1000,DK2 0AC_00031 0 offwind-dc,0.0,6.477358525893416e-11
base,1000,DK2 0AC_00032 0 offwind-dc,0.0,2300.9156175374133
base,1000,DK2 0AC_00033 0 offwind-dc,0.0,2.3172545371291364e-11
base,1000,DK2 0AC_00034 0 offwind-dc,0.0,2.959222645284611e-11
base,1000,DK2 0AC_00036 0 offwind-dc,0.0,2.2479076275597157e-11
base,1000,DK2 0AC_00037 0 offwind-dc,0.0,1386.726639998968
base,1000,DK2 0AC_00038 0 offwind-dc,0.0,8.210239069220865e-11
base,1000,DK2 0AC_00039 0 offwind-dc,0.0,308.4023019548447
base,1000,DK2 0AC_00058 0 offwind-dc,0.0,73.86057580418175
base,1000,FR2 0AC_00000 0 offwind-dc,0.0,167.9999999999064
base,1000,FR2 0AC_00001 0 offwind-dc,0.0,9.35746310685086e-11
base,1000,GB1 0AC_00019 0 offwind-dc,0.0,1636.7038235635202
base,1000,GB1 0AC_00024 0 offwind-dc,0.0,1664.7860551411868
base,1000,GB1 0AC_00033 0 offwind-dc,0.0,1340.2286412913127
base,1000,GB1 0AC_00037 0 offwind-dc,0.0,1695.6057573843173
base,1000,GB1 0AC_00091 0 offwind-dc,0.0,1.0730048549312447e-10
base,1000,GB1 0AC_00100 0 offwind-dc,0.0,2.1846587895614883e-10
base,1000,GB1 0AC_00111 0 offwind-dc,0.0,1.1427755935744521e-10
base,1000,GB1 0AC_00112 0 offwind-dc,0.0,2.6395911394920416e-10
base,1000,GB1 0AC_00117 0 offwind-dc,0.0,1.5003474872299552e-09
base,1000,GB1 0AC_00120 0 offwind-dc,0.0,4.42940272919909e-09
base,1000,GB1 0AC_00127 0 offwind-dc,0.0,2.3501585987287e-10
base,1000,GB1 0AC_00132 0 offwind-dc,0.0,1.1971713575541585e-10
base,1000,GB1 0AC_00133 0 offwind-dc,0.0,262.6320557084731
base,1000,GB1 0AC_00137 0 offwind-dc,0.0,514.8894293885481
base,1000,GB1 0AC_00143 0 offwind-dc,0.0,6.862293174314912e-10
base,1000,GB1 0AC_00146 0 offwind-dc,0.0,3.329840319514113e-09
base,1000,GB1 0AC_00147 0 offwind-dc,0.0,7.53278976202207e-11
base,1000,GB1 0AC_00148 0 offwind-dc,0.0,1301.0791374171858
base,1000,GB1 0AC_00154 0 offwind-dc,0.0,2.435589917958274e-10
base,1000,GB1 0AC_00158 0 offwind-dc,0.0,5.395312348853582e-10
