scenario,split_km2,offshore_capacity_gw,n_offshore_buses,total_cost_beur,mean_wake_loss
base,1000,100.93100000000001,8,54.0199590876443,0.0
base,10000,100.93100000001877,8,54.52912183293656,0.0
base,100000,100.93100000000001,8,58.50529271250171,0.0
standard,1000,100.93100000000751,8,56.1083196544767,0.11450000000000006
standard,10000,100.93100000000001,8,56.58470779961717,0.11450000000000005
standard,100000,100.931,8,60.50535491511366,0.11450000000000003
glaum,1000,100.9310049492572,8,55.73185780910034,2.1497690824853915e-07
glaum,10000,100.9310000000021,8,57.300890116685814,0.06172373503835095
glaum,100000,100.93100087654294,8,62.77690660938547,0.15128354821369883
new_more,1000,100.93100402111173,8,56.85583103000264,0.1524270518020035
new_more,10000,100.93099999999998,8,57.274954068805464,0.15017931145604535
new_more,100000,100.93099999999998,8,61.109764178570046,0.14735629939214975
