scenario,split,total_cost_eur,offshore_capacity_gw,line_volume_ac,line_volume_dc,transmission_capacity_gw,curtailment_mwh,curtailment_twh
base,1000,53688975104.96431,100.931,47.994450972947654,18.001672324357372,65.99612329730502,176383.75254493937,0.17638375254493938
standard,1000,55810145962.177216,100.93100000000003,48.25237385649707,17.94,66.19237385649707,73716.9821492849,0.0737169821492849
glaum,1000,55425593223.612495,100.93100038833377,48.11571278238074,17.940000448795075,66.05571323117582,92149.51198648063,0.09214951198648064
new_more,1000,56572067167.45192,100.93100000000491,48.339626437562,17.94000000000811,66.27962643757012,55750.36355702854,0.05575036355702854
base,10000,54161823789.288315,100.93099999999997,47.871166881652385,18.036484912427255,65.90765179407964,199259.4207336137,0.1992594207336137
standard,10000,56267564115.535126,100.93100548235402,48.29857595953971,17.940015577619185,66.2385915371589,58057.35818366438,0.05805735818366438
glaum,10000,57007134522.06298,100.93100000000027,48.26863036031429,17.94000000000061,66.2086303603149,35770.78333400024,0.03577078333400024
new_more,10000,56979868266.94729,100.93099999999995,48.36852419686789,17.94000000000002,66.30852419686791,42577.640887456095,0.042577640887456095
base,100000,58142740930.4622,100.931,48.13404373871349,18.123438767360483,66.25748250607397,234028.74303467417,0.23402874303467416
standard,100000,60181734262.979744,100.931,48.24682147847314,17.940000000000005,66.18682147847314,78535.10427424252,0.07853510427424253
glaum,100000,62501503880.66134,100.93100567625416,48.90111678131865,17.940025047362948,66.8411418286816,23312.949747895076,0.023312949747895075
new_more,100000,60799464453.68973,100.931,48.29721662163794,17.940000000000403,66.23721662163835,55884.97400672984,0.05588497400672984
