scenario,split_km2,offshore_capacity_gw,n_offshore_buses,total_cost_beur,mean_wake_loss
base,1000,58.02537591926251,8,417.0204962817376,0.0
base,10000,51.980089420453446,8,417.13997737842203,0.0
base,100000,45.2419741391895,8,417.2119883317035,0.0
standard,1000,21.69344737026205,8,418.5368206177411,0.11450000000000006
standard,10000,21.701396700199016,8,418.5483074774713,0.11450000000000003
standard,100000,21.594650584138467,8,418.6782257845084,0.11450000000000003
glaum,1000,25.643392761303716,8,418.3614685339351,1.3727603583829095e-06
glaum,10000,12.101202918963569,8,418.68923849875205,2.5885450116485106e-06
glaum,100000,2.1010332940395826,8,418.84444871725293,4.364373172008398e-06
new_more,1000,10.758069038077737,8,418.79089728735016,0.15217786452213386
new_more,10000,10.893041930870398,8,418.7989940012528,0.15067790489939323
new_more,100000,6.17062420090044,8,418.8839130291275,0.14368682604820715
