scenario,split,total_cost_eur,offshore_capacity_gw,line_volume_ac,line_volume_dc,transmission_capacity_gw,curtailment_mwh,curtailment_twh
base,1000,417020496281.7376,58.02537591926251,164.60323503744854,129476.34530210504,129640.94853714248,1424795.6940029874,1.4247956940029873
standard,1000,418536820617.7411,21.69344737026205,156.82329203227843,129489.760021262,129646.58331329428,344445.4922281005,0.3444454922281005
glaum,1000,418361468533.9351,25.643392761303716,157.05396106476232,129475.84057173082,129632.89453279557,494244.5989509011,0.4942445989509011
new_more,1000,418790897287.35016,10.758069038077737,156.69780625799896,129530.93592916804,129687.63373542603,198287.0837754267,0.1982870837754267
base,10000,417139977378.42206,51.980089420453446,164.3969329090601,129464.54704050312,129628.94397341218,569092.4586747587,0.5690924586747587
standard,10000,418548307477.4713,21.701396700199016,156.10355328691034,129481.47495413883,129637.57850742574,240272.5913923843,0.2402725913923843
glaum,10000,418689238498.7521,12.101202918963569,160.11321181812318,129523.74117553403,129683.85438735216,314909.4345347671,0.3149094345347671
new_more,10000,418798994001.2528,10.893041930870398,156.61822338079418,129525.26754160126,129681.88576498206,179020.32499846286,0.17902032499846288
base,100000,417211988331.7035,45.2419741391895,157.97971955563042,129465.99085657792,129623.97057613355,329648.42015355855,0.32964842015355855
standard,100000,418678225784.5084,21.594650584138467,156.10999483754645,129488.29642222237,129644.40641705992,218167.9358112221,0.2181679358112221
glaum,100000,418844448717.2529,2.1010332940395826,157.21271362092114,129544.39758554047,129701.61029916139,63371.42959209895,0.06337142959209896
new_more,100000,418883913029.1275,6.17062420090044,156.80980456039262,129534.35451975121,129691.16432431161,144819.12560928697,0.14481912560928697
