scenario,split,region,wake_loss,weight
base,1000,BE2 0AC_00001 0 offwind-ac,0.0,0.006214741347871731
base,1000,BE2 0AC_00003 0 offwind-ac,0.0,0.005250822785044273
base,1000,DE2 0AC_00029 0 offwind-ac,0.0,6.009811343613959
base,1000,DE2 0AC_00033 0 offwind-ac,0.0,0.0023149029279078796
base,1000,DE2 0AC_00034 0 offwind-ac,0.0,0.006941269029983885
base,1000,DE2 0AC_00036 0 offwind-ac,0.0,5.277225044916179
base,1000,DE2 0AC_00037 0 offwind-ac,0.0,0.07312341975295496
base,1000,DE2 0AC_00038 0 offwind-ac,0.0,0.0024329154680007635
base,1000,DE2 0AC_00040 0 offwind-ac,0.0,0.0013987831178638814
base,1000,DE2 0AC_00042 0 offwind-ac,0.0,0.0029417440799182778
base,1000,DK2 0AC_00035 0 offwind-ac,0.0,0.0019445546421552246
base,1000,DK2 0AC_00040 0 offwind-ac,0.0,0.002537210972104213
base,1000,DK2 0AC_00041 0 offwind-ac,0.0,0.00282288513222975
base,1000,DK2 0AC_00043 0 offwind-ac,0.0,0.0017238972722835653
base,1000,DK2 0AC_00045 0 offwind-ac,0.0,0.0019643037892826463
base,1000,DK2 0AC_00046 0 offwind-ac,0.0,0.0027211585498336877
base,1000,DK2 0AC_00047 0 offwind-ac,0.0,0.0009285113004571572
base,1000,DK2 0AC_00048 0 offwind-ac,0.0,0.0022830175673490636
base,1000,DK2 0AC_00050 0 offwind-ac,0.0,0.0011019168871105238
base,1000,DK2 0AC_00051 0 offwind-ac,0.0,0.0021683994588960654
base,1000,DK2 0AC_00052 0 offwind-ac,0.0,0.0008627268310030928
base,1000,DK2 0AC_00053 0 offwind-ac,0.0,0.0018873303907939556
base,1000,DK2 0AC_00055 0 offwind-ac,0.0,0.0022911486236017885
base,1000,DK2 0AC_00056 0 offwind-ac,0.0,0.001085491688111903
base,1000,DK2 0AC_00057 0 offwind-ac,0.0,0.002546753964384084
base,1000,DK2 0AC_00059 0 offwind-ac,0.0,0.003798988344640402
base,1000,DK2 0AC_00060 0 offwind-ac,0.0,0.0020132952157336194
base,1000,GB1 0AC_00000 0 offwind-ac,0.0,0.0006745120736588835
base,1000,GB1 0AC_00004 0 offwind-ac,0.0,0.000895792738061749
base,1000,GB1 0AC_00005 0 offwind-ac,0.0,0.002485989721331521
base,1000,GB1 0AC_00007 0 offwind-ac,0.0,1562.2080545533142
base,1000,GB1 0AC_00009 0 offwind-ac,0.0,0.0013607264460031923
base,1000,GB1 0AC_00011 0 offwind-ac,0.0,0.0029631464399115276
base,1000,GB1 0AC_00013 0 offwind-ac,0.0,0.001482822005754627
base,1000,GB1 0AC_00014 0 offwind-ac,0.0,0.002453034593676199
base,1000,GB1 0AC_00020 0 offwind-ac,0.0,0.0028094768381105003
base,1000,GB1 0AC_00026 0 offwind-ac,0.0,0.0010592582732217605
base,1000,GB1 0AC_00044 0 offwind-ac,0.0,0.0015352690816673143
base,1000,GB1 0AC_00046 0 offwind-ac,0.0,0.0010790409304676685
base,1000,GB1 0AC_00058 0 offwind-ac,0.0,0.00198279390504018
base,1000,GB1 0AC_00060 0 offwind-ac,0.0,0.0018099402553793359
base,1000,GB1 0AC_00061 0 offwind-ac,0.0,0.0008245685216317068
base,1000,GB1 0AC_00090 0 offwind-ac,0.0,0.0021398152067046566
base,1000,GB1 0AC_00092 0 offwind-ac,0.0,0.0010925100463994664
base,1000,GB1 0AC_00094 0 offwind-ac,0.0,0.0006337968318554375
base,1000,GB1 0AC_00097 0 offwind-ac,0.0,0.001702563615526933
base,1000,GB1 0AC_00103 0 offwind-ac,0.0,0.0017901012824899486
base,1000,GB1 0AC_00116 0 offwind-ac,0.0,0.0028900138742978827
base,1000,GB1 0AC_00119 0 offwind-ac,0.0,0.0011570658812472634
base,1000,GB1 0AC_00122 0 offwind-ac,0.0,0.002099342958916609
base,1000,GB1 0AC_00129 0 offwind-ac,0.0,0.00198815086931248
base,1000,GB1 0AC_00135 0 offwind-ac,0.0,0.0014868924309449543
base,1000,GB1 0AC_00145 0 offwind-ac,0.0,0.0013694572914512285
base,1000,GB1 0AC_00151 0 offwind-ac,0.0,0.0019331736811154315
base,1000,GB1 0AC_00155 0 offwind-ac,0.0,0.0017571750606324836
base,1000,GB1 0AC_00162 0 offwind-ac,0.0,0.002366470898871183
base,1000,GB1 0AC_00166 0 offwind-ac,0.0,0.002922991673738675
base,1000,GB1 0AC_00170 0 offwind-ac,0.0,0.0022915093948557013
base,1000,GB1 0AC_00178 0 offwind-ac,0.0,0.0025506237308654217
base,1000,GB4 0AC_00006 0 offwind-ac,0.0,0.00948869673843294
base,1000,GB4 0AC_00007 0 offwind-ac,0.0,0.009454584360805932
base,1000,GB4 0AC_00016 0 offwind-ac,0.0,1.1505778005800347
base,1000,GB4 0AC_00019 0 offwind-ac,0.0,100.85582243158608
base,1000,GB4 0AC_00025 0 offwind-ac,0.0,2.071135654962889
base,1000,NL2 0AC_00002 0 offwind-ac,0.0,0.0039673688473099425
base,1000,NL2 0AC_00017 0 offwind-ac,0.0,0.0012011946438682775
base,1000,NL2 0AC_00018 0 offwind-ac,0.0,0.003922131517834445
base,1000,NL2 0AC_00027 0 offwind-ac,0.0,0.004968526257319752
base,1000,NL2 0AC_00028 0 offwind-ac,0.0,0.005003580552487693
base,1000,NL2 0AC_00030 0 offwind-ac,0.0,0.0031328579292249524
base,1000,NL2 0AC_00039 0 offwind-ac,0.0,0.005722187632405348
base,1000,NL2 0AC_00041 0 offwind-ac,0.0,0.0032101573600007804
base,1000,NL2 0AC_00048 0 offwind-ac,0.0,0.0021409262703784866
base,1000,NL2 0AC_00049 0 offwind-ac,0.0,0.004424172821977706
base,1000,NL2 0AC_00051 0 offwind-ac,0.0,0.002607204411339279
base,1000,NL2 0AC_00052 0 offwind-ac,0.0,0.001176273674155456
base,1000,NL2 0AC_00061 0 offwind-ac,0.0,0.004478858049912939
base,1000,NL2 0AC_00065 0 offwind-ac,0.0,0.011153273295761885
base,1000,NO0 0AC_00027 0 offwind-ac,0.0,0.000796862778625694
base,1000,NO0 0AC_00090 0 offwind-ac,0.0,0.0007733937356020096
base,1000,NO0 0AC_00101 0 offwind-ac,0.0,0.0007247507613206128
base,1000,NO0 0AC_00106 0 offwind-ac,0.0,0.0005763814279160851
base,1000,NO0 0AC_00114 0 offwind-ac,0.0,0.001685902941708214
base,1000,NO0 0AC_00126 0 offwind-ac,0.0,0.001072192234144968
base,1000,NO0 0AC_00127 0 offwind-ac,0.0,0.0005969185765789084
base,1000,NO0 0AC_00149 0 offwind-ac,0.0,0.0009205255664734081
base,1000,NO0 0AC_00150 0 offwind-ac,0.0,0.000590981803388892
base,1000,NO0 0AC_00169 0 offwind-ac,0.0,0.0012475380338343174
base,1000,NO0 0AC_00172 0 offwind-ac,0.0,0.0012564105063663325
base,1000,NO0 0AC_00174 0 offwind-ac,0.0,0.0011069201593344401
base,1000,BE2 0AC_00000 0 offwind-dc,0.0,630.0067653939365
base,1000,BE2 0AC_00002 0 offwind-dc,0.0,0.008757209417179649
base,1000,DE2 0AC_00000 0 offwind-dc,0.0,1665.6763403839875
base,1000,DE2 0AC_00001 0 offwind-dc,0.0,1242.5421373654153
base,1000,DE2 0AC_00002 0 offwind-dc,0.0,165.58025208463235
base,1000,DE2 0AC_00003 0 offwind-dc,0.0,1056.3512297817194
base,1000,DE2 0AC_00004 0 offwind-dc,0.0,296.86181903640977
base,1000,DE2 0AC_00005 0 offwind-dc,0.0,1743.0687966847054
base,1000,DE2 0AC_00006 0 offwind-dc,0.0,2179.636713061356
base,1000,DE2 0AC_00007 0 offwind-dc,0.0,1972.6816312713604
base,1000,DE2 0AC_00008 0 offwind-dc,0.0,1265.9384612636475
base,1000,DE2 0AC_00009 0 offwind-dc,0.0,787.6776177396147
base,1000,DE2 0AC_00010 0 offwind-dc,0.0,2593.5038927857063
base,1000,DE2 0AC_00011 0 offwind-dc,0.0,1433.8921420188076
base,1000,DE2 0AC_00012 0 offwind-dc,0.0,2106.9258945011584
base,1000,DE2 0AC_00013 0 offwind-dc,0.0,1405.3447713337525
base,1000,DE2 0AC_00014 0 offwind-dc,0.0,2959.2150075963773
base,1000,DE2 0AC_00015 0 offwind-dc,0.0,2975.9623349096582
base,1000,DE2 0AC_00016 0 offwind-dc,0.0,2575.559425581562
base,1000,DE2 0AC_00017 0 offwind-dc,0.0,1493.3219630452213
base,1000,DE2 0AC_00018 0 offwind-dc,0.0,1300.0133871150174
base,1000,DE2 0AC_00019 0 offwind-dc,0.0,0.011037368825711942
base,1000,DE2 0AC_00020 0 offwind-dc,0.0,623.7662871939783
base,1000,DE2 0AC_00021 0 offwind-dc,0.0,3016.012688185348
base,1000,DE2 0AC_00022 0 offwind-dc,0.0,2593.6277389331144
base,1000,DE2 0AC_00023 0 offwind-dc,0.0,427.8301104544292
base,1000,DE2 0AC_00024 0 offwind-dc,0.0,644.4446168199049
base,1000,DE2 0AC_00025 0 offwind-dc,0.0,73.5420193280168
base,1000,DE2 0AC_00026 0 offwind-dc,0.0,0.01684288603767971
base,1000,DE2 0AC_00027 0 offwind-dc,0.0,0.1178963814605375
base,1000,DE2 0AC_00028 0 offwind-dc,0.0,155.0656393196513
base,1000,DE2 0AC_00030 0 offwind-dc,0.0,0.008137179808992962
base,1000,DE2 0AC_00031 0 offwind-dc,0.0,0.029378672611856053
base,1000,DE2 0AC_00032 0 offwind-dc,0.0,16.55956418449697
base,1000,DK2 0AC_00001 0 offwind-dc,0.0,0.004167773076044702
base,1000,DK2 0AC_00002 0 offwind-dc,0.0,0.004883906871240867
base,1000,DK2 0AC_00006 0 offwind-dc,0.0,0.009457527972873815
base,1000,DK2 0AC_00007 0 offwind-dc,0.0,0.0058610663535715425
base,1000,DK2 0AC_00008 0 offwind-dc,0.0,0.005090352394608763
base,1000,DK2 0AC_00009 0 offwind-dc,0.0,0.003769246122265791
base,1000,DK2 0AC_00010 0 offwind-dc,0.0,0.004892366828760368
base,1000,DK2 0AC_00012 0 offwind-dc,0.0,0.008846961611437651
base,1000,DK2 0AC_00013 0 offwind-dc,0.0,0.00142174274470822
base,1000,DK2 0AC_00014 0 offwind-dc,0.0,0.002747560962547867
base,1000,DK2 0AC_00015 0 offwind-dc,0.0,0.01127304180293928
base,1000,DK2 0AC_00016 0 offwind-dc,0.0,0.0015805730531607827
base,1000,DK2 0AC_00017 0 offwind-dc,0.0,0.004123734335937585
base,1000,DK2 0AC_00018 0 offwind-dc,0.0,0.005400896265688521
base,1000,DK2 0AC_00019 0 offwind-dc,0.0,0.008080936379538984
base,1000,DK2 0AC_00020 0 offwind-dc,0.0,0.003921017875925671
base,1000,DK2 0AC_00021 0 offwind-dc,0.0,0.0032718605173675678
base,1000,DK2 0AC_00022 0 offwind-dc,0.0,0.0026117840306808617
base,1000,DK2 0AC_00023 0 offwind-dc,0.0,0.003737669085113558
base,1000,DK2 0AC_00024 0 offwind-dc,0.0,0.008616780388783883
base,1000,DK2 0AC_00025 0 offwind-dc,0.0,0.0016409692953231654
base,1000,DK2 0AC_00026 0 offwind-dc,0.0,0.0035697856333141145
base,1000,DK2 0AC_00027 0 offwind-dc,0.0,0.033466893878311005
base,1000,DK2 0AC_00028 0 offwind-dc,0.0,0.008981024961182181
base,1000,DK2 0AC_00029 0 offwind-dc,0.0,0.0022624060450563083
base,1000,DK2 0AC_00030 0 offwind-dc,0.0,0.0026306809637777094
base,1000,DK2 0AC_00031 0 offwind-dc,0.0,0.004278438527212957
base,1000,DK2 0AC_00032 0 offwind-dc,0.0,0.029213833427516062
base,1000,DK2 0AC_00033 0 offwind-dc,0.0,0.002138962352600156
base,1000,DK2 0AC_00034 0 offwind-dc,0.0,0.002172550072357387
base,1000,DK2 0AC_00036 0 offwind-dc,0.0,0.0022409862917925306
