scenario,split_km2,offshore_capacity_gw,n_offshore_buses,total_cost_beur,mean_wake_loss
base,100000,100.93100000000013,8,55.411343538248616,0.0
base,10000,100.93100135423009,8,54.506029260455016,0.0
base,1000,100.93100199195929,8,54.260092516949584,0.0
standard,100000,100.93100039712354,8,57.345110468365974,0.11450000000000006
standard,10000,100.93099999999998,8,56.574729329863715,0.11450000000000002
standard,1000,100.93100374690056,8,56.35979817874719,0.11450000000000002
glaum,100000,100.93100000003989,8,59.861226949904434,0.1731729004436998
glaum,10000,100.93100412820074,8,57.207130366177736,0.0549237704830303
glaum,1000,100.93100000000115,8,55.974553130862205,4.0739115146624157e-14
new_more,100000,100.93100000000328,8,57.97018607098171,0.1490117638395618
new_more,10000,100.93100000010543,8,57.290250447893186,0.1509748752911866
new_more,1000,100.9310002333927,8,57.13835387073165,0.15297909454713934
