scenario,split,total_cost_eur,offshore_capacity_gw,line_volume_ac,line_volume_dc,transmission_capacity_gw,curtailment_mwh,curtailment_twh
base,100000,55411343538.24862,100.93100000000013,49.86427569465451,18.180040696212597,68.04431639086711,2391067.7071476793,2.391067707147679
standard,100000,57345110468.365974,100.93100039712354,49.43396719009653,17.98640677051974,67.42037396061627,1060595.8198187964,1.0605958198187964
glaum,100000,59861226949.904434,100.93100000003989,52.3150987996329,17.94000000023437,70.25509879986727,226483.68586095682,0.22648368586095682
new_more,100000,57970186070.98171,100.93100000000328,49.41824041076716,17.940000000011747,67.3582404107789,797181.0138079883,0.7971810138079882
base,10000,54506029260.45502,100.93100135423009,48.835078152984295,18.068167117276158,66.90324527026046,1363804.141629404,1.363804141629404
standard,10000,56574729329.863716,100.93099999999998,48.951560633742496,17.940000000000047,66.89156063374254,615173.7807701885,0.6151737807701886
glaum,10000,57207130366.177734,100.93100412820074,49.13488404185996,17.94000482206218,67.07488886392214,524228.141527782,0.524228141527782
new_more,10000,57290250447.89319,100.93100000010543,48.96689460997105,17.94000000019324,66.9068946101643,501974.8790707677,0.5019748790707678
base,1000,54260092516.949585,100.93100199195929,48.735792711885516,18.033633895321483,66.76942660720701,1154581.150881083,1.154581150881083
standard,1000,56359798178.74719,100.93100374690056,48.82562872780088,17.940002499380707,66.76563122718159,671411.7625811275,0.6714117625811274
glaum,1000,55974553130.862206,100.93100000000115,48.74206998599622,17.940000000000897,66.6820699859971,763374.1001026024,0.7633741001026024
new_more,1000,57138353870.73165,100.9310002333927,49.03783399528328,17.94000005320218,66.97783404848546,546421.5324528896,0.5464215324528896
