scenario,split_km2,offshore_capacity_gw,n_offshore_buses,total_cost_beur,mean_wake_loss
base,100000,100.93099999999998,8,55.06005933077824,0.0
base,10000,100.93099999999994,8,54.217465904261026,0.0
base,1000,100.93100000000175,8,53.98314013402084,0.0
standard,100000,100.931,8,57.00092974553166,0.11450000000000006
standard,10000,100.93100000000084,8,56.28404354971562,0.11450000000000003
standard,1000,100.93099999999997,8,56.07904054332682,0.11450000000000003
glaum,100000,100.931,8,59.51727203919385,0.17317290044394967
glaum,10000,100.93100000000007,8,56.90348079957827,0.05492376294576027
glaum,1000,100.93100000000005,8,55.6983006990805,5.767106993792604e-16
new_more,100000,100.93100000000001,8,57.62374023098769,0.14901176383953116
new_more,10000,100.93100000000003,8,56.99112845238824,0.15097840787880348
new_more,1000,100.93100000004712,8,56.84720753030936,0.15277991932472992
