scenario,split,total_cost_eur,offshore_capacity_gw,line_volume_ac,line_volume_dc,transmission_capacity_gw,curtailment_mwh,curtailment_twh
base,100000,55060059330.77824,100.93099999999998,49.07171255654747,18.17485578621167,67.24656834275915,1035182.4799293253,1.0351824799293252
standard,100000,57000929745.531654,100.931,49.1461130545185,18.0329780325403,67.1790910870588,375452.8186848791,0.3754528186848791
glaum,100000,59517272039.19385,100.931,50.13204079014489,17.94,68.0720407901449,43332.507698233356,0.04333250769823335
new_more,100000,57623740230.98769,100.93100000000001,49.21045361733172,17.940000000003717,67.15045361733544,242438.63960528062,0.24243863960528061
base,10000,54217465904.261024,100.93099999999994,48.66081931427354,18.108256289672884,66.76907560394643,554711.0104587962,0.5547110104587961
standard,10000,56284043549.71562,100.93100000000084,48.855679161013214,17.940000000003224,66.79567916101644,197749.10396538052,0.1977491039653805
glaum,10000,56903480799.57827,100.93100000000007,48.82373998194328,17.940000000038065,66.76373998198135,136698.0205579876,0.1366980205579876
new_more,10000,56991128452.38824,100.93100000000003,48.92693534883261,17.940000000020948,66.86693534885356,139820.48847031748,0.13982048847031747
base,1000,53983140134.02084,100.93100000000175,48.52304686558555,18.066338281726484,66.58938514731203,450510.46443697414,0.4505104644369741
standard,1000,56079040543.32682,100.93099999999997,48.70637696364084,17.940000000000005,66.64637696364083,218368.34839312948,0.21836834839312946
glaum,1000,55698300699.0805,100.93100000000005,48.58277983959927,17.94,66.52277983959927,267314.20593652775,0.26731420593652777
new_more,1000,56847207530.309364,100.93100000004712,48.773720973992596,17.940000000049125,66.71372097404172,159872.79954926923,0.15987279954926922
