scenario,split,region,tech,available_cf,dispatch_cf,curtailment_cf
base,100000,BE2 0AC,offwind-dc,0.5939337763858885,0.5939337763858878,6.661338147750939e-16
base,100000,DE2 0AC,offwind-dc,0.5837507545252058,0.5837507545252059,0.0
base,100000,DK2 0AC,offwind-dc,0.5955548327553898,0.5954067420162964,0.00014809073909338721
base,100000,FR2 0AC,offwind-dc,0.5826708593953586,0.582670859395355,3.552713678800501e-15
base,100000,GB1 0AC,offwind-dc,0.5781611162937427,0.5429278239178275,0.035233292375915215
base,100000,NL2 0AC,offwind-dc,0.5788692952776835,0.5787402993084656,0.00012899596921789325
base,100000,GB1 0AC,offwind-float,0.5698468816291581,0.40434776498663605,0.16549911664252204
base,100000,GB1 0AC,offwind-float,0.5681707554765907,0.38869785185230477,0.17947290362428592
base,100000,GB4 0AC,offwind-float,0.5766642808090567,0.43325038980135744,0.1434138910076993
base,100000,GB4 0AC,offwind-float,0.5929543473380797,0.4533316476219684,0.1396226997161113
base,100000,NL2 0AC,offwind-float,0.4527188348758086,0.32304824744664085,0.12967058742916776
base,100000,NO0 0AC,offwind-float,0.5560138155235932,0.5335939681092224,0.022419847414370753
base,100000,NO0 0AC,offwind-float,0.5829475994136967,0.5829475994136963,3.3306690738754696e-16
base,100000,NO0 0AC,offwind-float,0.5675479668471545,0.5530386823363848,0.014509284510769715
base,100000,GB4 0AC,offwind-ac,0.6001171955418597,0.5199021514469504,0.08021504409490932
standard,100000,GB1 0AC,offwind-float,0.5045866144650129,0.36893278851291533,0.13565382595209752
standard,100000,GB1 0AC,offwind-float,0.5031152039745211,0.3576447019019829,0.14547050207253825
standard,100000,GB4 0AC,offwind-float,0.5106362206564197,0.3911287884253479,0.1195074322310718
standard,100000,GB4 0AC,offwind-float,0.5250610745678697,0.40799146770481765,0.11706960686305201
standard,100000,NL2 0AC,offwind-float,0.40088252828252857,0.2815914838272989,0.11929104445522964
standard,100000,NO0 0AC,offwind-float,0.4923502336461418,0.47241657382103186,0.019933659825109917
standard,100000,NO0 0AC,offwind-float,0.5161743706467369,0.5161743706466454,9.14823772291129e-14
standard,100000,NO0 0AC,offwind-float,0.5025511132802073,0.48931565497653096,0.01323545830367634
standard,100000,GB4 0AC,offwind-ac,0.531328048214638,0.48461754320970646,0.04671050500493151
standard,100000,BE2 0AC,offwind-dc,0.5258884750455071,0.5258884750452348,2.722266856380884e-13
standard,100000,DE2 0AC,offwind-dc,0.5168856762913792,0.5168856762913685,1.0658141036401503e-14
standard,100000,DK2 0AC,offwind-dc,0.5273504187330178,0.5267855784622476,0.0005648402707701949
standard,100000,FR2 0AC,offwind-dc,0.51595504599459,0.5159550459927883,1.801669924361704e-12
standard,100000,GB1 0AC,offwind-dc,0.5119616684781092,0.49940138394376915,0.01256028453434005
standard,100000,NL2 0AC,offwind-dc,0.5125887609683888,0.512454718336306,0.0001340426320828314
glaum,100000,BE2 0AC,offwind-dc,0.5380908861298838,0.5380908861298834,3.3306690738754696e-16
glaum,100000,FR2 0AC,offwind-dc,0.5278997986121948,0.5278997986121938,9.992007221626409e-16
glaum,100000,GB4 0AC,offwind-ac,0.5436286975521876,0.5340816546247095,0.0095470429274781
glaum,100000,GB4 0AC,offwind-float,0.5372166386883003,0.4849146305280552,0.05230200816024505
glaum,100000,NL2 0AC,offwind-float,0.41016326439748263,0.3130455434131105,0.0971177209843721
glaum,100000,NO0 0AC,offwind-float,0.5141855546379084,0.5141855546379083,1.1102230246251565e-16
glaum,100000,NO0 0AC,offwind-float,0.4483701006868281,0.4001644503388318,0.04820565034799629
glaum,100000,DE2 0AC,offwind-dc,0.5288519737097567,0.5288519737097566,1.1102230246251565e-16
glaum,100000,DE2 0AC,offwind-dc,0.4611730943078033,0.46117309430780323,5.551115123125783e-17
glaum,100000,DE2 0AC,offwind-dc,0.39704486583376547,0.3970448658337655,0.0
glaum,100000,DK2 0AC,offwind-dc,0.5395589829159956,0.5376981388773405,0.0018608440386550518
glaum,100000,DK2 0AC,offwind-dc,0.4705098932834903,0.46984907740778076,0.0006608158757095417
glaum,100000,DK2 0AC,offwind-dc,0.4050822921342113,0.3482814523716011,0.056800839762610245
glaum,100000,GB1 0AC,offwind-dc,0.5238139713621309,0.5194584243401749,0.004355547021956063
glaum,100000,GB1 0AC,offwind-dc,0.456754718304771,0.4552805990711944,0.0014741192335765985
glaum,100000,GB1 0AC,offwind-dc,0.3932528040860305,0.39242727938550087,0.0008255247005296562
glaum,100000,NL2 0AC,offwind-dc,0.5244555815215813,0.5241186324521502,0.0003369490694311583
glaum,100000,NL2 0AC,offwind-dc,0.4573125781639908,0.45721787368518224,9.470447880854937e-05
glaum,100000,NL2 0AC,offwind-dc,0.39371948015595554,0.39357683046317093,0.00014264969278460216
glaum,100000,GB1 0AC,offwind-float,0.5162681792267664,0.43880926921366464,0.07745891001310173
glaum,100000,GB1 0AC,offwind-float,0.4501873882940191,0.3631958334664857,0.0869915548275334
glaum,100000,GB1 0AC,offwind-float,0.3875848998533827,0.2890842275099329,0.09850067234344978
glaum,100000,GB1 0AC,offwind-float,0.5147627044617912,0.42699461335824657,0.08776809110354461
glaum,100000,GB1 0AC,offwind-float,0.44887351328686564,0.3553872351936641,0.09348627809320154
glaum,100000,GB1 0AC,offwind-float,0.38646731102233295,0.27801643095144085,0.1084508800708921
glaum,100000,GB4 0AC,offwind-float,0.5224578384130055,0.4603930986104193,0.0620647398025862
glaum,100000,GB4 0AC,offwind-float,0.45558410955785905,0.3815316122684809,0.07405249728937813
glaum,100000,GB4 0AC,offwind-float,0.3922186597268527,0.2825055031270965,0.10971315659975622
glaum,100000,NO0 0AC,offwind-float,0.5037485168643754,0.4947825229301064,0.008965993934269001
glaum,100000,NO0 0AC,offwind-float,0.43928220716598737,0.38835858647596905,0.05092362069001832
glaum,100000,NO0 0AC,offwind-float,0.37820946961265495,0.3020737312593722,0.07613573835328274
glaum,100000,NO0 0AC,offwind-float,0.528124200797226,0.528124200797226,0.0
glaum,100000,NO0 0AC,offwind-float,0.4605260273920663,0.41884526772165154,0.041680759670414735
glaum,100000,NO0 0AC,offwind-float,0.39648630683368896,0.32612710513628007,0.07035920169740889
new_more,100000,NL2 0AC,offwind-float,0.4022643340335286,0.28541359370271363,0.116850740330815
new_more,100000,NO0 0AC,offwind-float,0.5042833614314979,0.5042833614312585,2.3936408410918375e-13
new_more,100000,NO0 0AC,offwind-float,0.4803153236637624,0.46668641870814553,0.01362890495561686
new_more,100000,BE2 0AC,offwind-dc,0.5277011649682027,0.5277011649669815,1.2212453270876722e-12
new_more,100000,BE2 0AC,offwind-dc,0.5026201045577772,0.5026201045576038,1.7341683644644945e-13
new_more,100000,FR2 0AC,offwind-dc,0.5177334962874157,0.5177334962836337,3.781974733385596e-12
new_more,100000,FR2 0AC,offwind-dc,0.4931261882901557,0.49312618828879046,1.365241253381555e-12
new_more,100000,NO0 0AC,offwind-float,0.5179535769317656,0.5179535769316869,7.87148124459236e-14
new_more,100000,NO0 0AC,offwind-float,0.49332249414515955,0.492124299415765,0.0011981947293945305
new_more,100000,NO0 0AC,offwind-float,0.488259610178696,0.48219622281364705,0.006063387365048967
new_more,100000,DE2 0AC,offwind-dc,0.5186673343825136,0.5186673343824093,1.042499420123022e-13
new_more,100000,DE2 0AC,offwind-dc,0.494015642079833,0.49401564207982673,6.2727600891321345e-15
new_more,100000,DE2 0AC,offwind-dc,0.4889456444552523,0.48376461868766835,0.005181025767583947
new_more,100000,DK2 0AC,offwind-dc,0.5291681478431376,0.5278670138063944,0.0013011340367431456
new_more,100000,DK2 0AC,offwind-dc,0.5040173633378078,0.5032476626043059,0.0007697007335019102
new_more,100000,DK2 0AC,offwind-dc,0.4988447197670256,0.4766590671368829,0.022185652630142716
new_more,100000,GB1 0AC,offwind-dc,0.5137263539604758,0.48429484135173445,0.029431512608741384
new_more,100000,GB1 0AC,offwind-dc,0.48929636810817473,0.4825414225652618,0.006754945542912949
new_more,100000,GB1 0AC,offwind-dc,0.48426118708140925,0.42777355545308193,0.05648763162832732
new_more,100000,GB4 0AC,offwind-ac,0.5331594878531677,0.4927419391735226,0.04041754867964509
new_more,100000,GB4 0AC,offwind-ac,0.5078189993135174,0.47132809683826277,0.036490902475254605
new_more,100000,GB4 0AC,offwind-ac,0.5026073402061315,0.46640211079259175,0.03620522941353976
new_more,100000,GB1 0AC,offwind-float,0.5063258788044506,0.38012246368554103,0.12620341511890953
new_more,100000,GB1 0AC,offwind-float,0.4822475864905414,0.35533432661215814,0.12691325987838326
new_more,100000,GB1 0AC,offwind-float,0.4772983623978118,0.3503563005696887,0.12694206182812312
new_more,100000,GB1 0AC,offwind-float,0.47144987600194715,0.3445167671490498,0.12693310885289738
new_more,100000,NL2 0AC,offwind-dc,0.5143556079817486,0.513936018176816,0.00041958980493261855
new_more,100000,NL2 0AC,offwind-dc,0.4899088473288538,0.4898173377297908,9.150959906301104e-05
new_more,100000,NL2 0AC,offwind-dc,0.48488099703293763,0.47606276722071456,0.008818229812223077
new_more,100000,NL2 0AC,offwind-dc,0.4789395982388708,0.46488977861844355,0.014049819620427229
new_more,100000,GB1 0AC,offwind-float,0.5048493964953226,0.36884355447100103,0.13600584202432153
new_more,100000,GB1 0AC,offwind-float,0.48085445569880364,0.3452813781875481,0.13557307751125552
new_more,100000,GB1 0AC,offwind-float,0.4759195290679421,0.34052353932466833,0.13539598974327377
new_more,100000,GB1 0AC,offwind-float,0.4700879379489256,0.33493926561258225,0.13514867233634337
new_more,100000,GB1 0AC,offwind-float,0.46347986774931416,0.3286608412592183,0.13481902649009586
new_more,100000,GB4 0AC,offwind-float,0.5123963374402439,0.4022943014649823,0.11010203597526164
new_more,100000,GB4 0AC,offwind-float,0.48804269877773704,0.37545463579563293,0.11258806298210411
new_more,100000,GB4 0AC,offwind-float,0.4830340004436524,0.37005748390492677,0.11297651653872565
new_more,100000,GB4 0AC,offwind-float,0.47711523347755025,0.3637319686701818,0.11338326480736843
new_more,100000,GB4 0AC,offwind-float,0.47039482575502267,0.3565399984788059,0.11385482727621676
new_more,100000,NO0 0AC,offwind-float,0.49404732028963594,0.49404732028928927,3.4666713943920513e-13
new_more,100000,NO0 0AC,offwind-float,0.4705657903852253,0.4506552451146116,0.0199105452706137
new_more,100000,NO0 0AC,offwind-float,0.4657364545580887,0.44247718687302917,0.023259267685059537
new_more,100000,NO0 0AC,offwind-float,0.460029639841907,0.43305088826353133,0.026978751578375648
new_more,100000,NO0 0AC,offwind-float,0.45356296008143293,0.42264728955428804,0.03091567052714489
new_more,100000,GB4 0AC,offwind-float,0.5268709125160898,0.432936256824735,0.09393465569135473
new_more,100000,GB4 0AC,offwind-float,0.5018293130985324,0.41000942804039586,0.09181988505813654
