scenario,split,region,tech,available_cf,dispatch_cf,curtailment_cf
base,100000,GB1 0AC,offwind-float,0.5698871653495671,0.40264497803736665,0.16724218731220042
base,100000,GB1 0AC,offwind-float,0.5681978579252955,0.38836238533311934,0.1798354725921762
base,100000,GB4 0AC,offwind-float,0.5767033523617913,0.429452450504835,0.14725090185695627
base,100000,GB4 0AC,offwind-float,0.5929567089378681,0.44797081358440144,0.14498589535346668
base,100000,NL2 0AC,offwind-float,0.4527517026321004,0.3207891908628884,0.13196251176921203
base,100000,NO0 0AC,offwind-float,0.5560495538641615,0.5334766565850495,0.022572897279112047
base,100000,NO0 0AC,offwind-float,0.5829760153898136,0.5829760153898137,0.0
base,100000,NO0 0AC,offwind-float,0.5675957187622134,0.5534497101764048,0.014146008585808612
base,100000,GB4 0AC,offwind-ac,0.6001356384502733,0.5253406860629329,0.07479495238734035
base,100000,BE2 0AC,offwind-dc,0.5939391097793998,0.5939391097793997,1.1102230246251565e-16
base,100000,DE2 0AC,offwind-dc,0.5837756364761651,0.5837756364761651,0.0
base,100000,DK2 0AC,offwind-dc,0.5955822395005184,0.5952253747042037,0.00035686479631469314
base,100000,FR2 0AC,offwind-dc,0.5827041988924787,0.5827041988924785,2.220446049250313e-16
base,100000,GB1 0AC,offwind-dc,0.5781611162937427,0.5518494414923932,0.02631167480134944
base,100000,NL2 0AC,offwind-dc,0.5788807977196908,0.5788632062165636,1.7591503127190045e-05
standard,100000,GB1 0AC,offwind-float,0.5046350849170415,0.3665874086869505,0.13804767623009095
standard,100000,GB1 0AC,offwind-float,0.5031392031928491,0.35667364431307486,0.14646555887977425
standard,100000,GB4 0AC,offwind-float,0.5106708185163662,0.38574126927250574,0.12492954924386046
standard,100000,GB4 0AC,offwind-float,0.5250631657644822,0.41079400576920827,0.11426915999527393
standard,100000,NL2 0AC,offwind-float,0.4009116326807249,0.27956169820348986,0.12134993447723502
standard,100000,NO0 0AC,offwind-float,0.4923561020430398,0.47123143110098903,0.021124670942050783
standard,100000,NO0 0AC,offwind-float,0.5162252616276799,0.5162252616276697,1.021405182655144e-14
standard,100000,NO0 0AC,offwind-float,0.5026060089639398,0.48901692419835785,0.01358908476558196
standard,100000,BE2 0AC,offwind-dc,0.525907160190991,0.5259071601909608,3.019806626980426e-14
