scenario,split_km2,offshore_capacity_gw,n_offshore_buses,total_cost_beur,mean_wake_loss
base,100000,100.931,8,54.613895801000055,0.0
base,10000,100.93100000000224,8,53.85427048583081,0.0
base,1000,100.93100025547163,8,53.65679898607128,0.0
standard,100000,100.93100000000003,8,56.62086059450965,0.11450000000000005
standard,10000,100.93100000003544,8,55.96505983379783,0.11450000000000006
standard,1000,100.93100000000572,8,55.790180779486114,0.11450000000000003
glaum,100000,100.9310003565995,8,59.21579849049361,0.17317289777224878
glaum,10000,100.93100000003378,8,56.60939518084148,0.05492376294295719
glaum,1000,100.93099999999995,8,55.400765867191446,2.2918684334965453e-16
new_more,100000,100.93100000000001,8,57.26453713724827,0.14901176383943482
new_more,10000,100.93100000000001,8,56.692743195195355,0.15126861305798664
new_more,1000,100.93100000000027,8,56.56898486854725,0.1526428126864819
