scenario,split,total_cost_eur,offshore_capacity_gw,line_volume_ac,line_volume_dc,transmission_capacity_gw,curtailment_mwh,curtailment_twh
base,100000,54613895801.00005,100.931,48.06158984854924,18.163796316250334,66.22538616479956,387372.6330026628,0.3873726330026628
standard,100000,56620860594.50965,100.93100000000003,48.25908600735644,17.940000000000925,66.19908600735737,118669.37641257573,0.11866937641257573
glaum,100000,59215798490.493614,100.9310003565995,49.409623143775974,17.940003306704888,67.34962645048087,14496.406978588648,0.014496406978588647
new_more,100000,57264537137.24827,100.93100000000001,48.35356480122584,17.940000000000023,66.29356480122587,73999.74388435503,0.07399974388435504
base,10000,53854270485.83081,100.93100000000224,47.9365831129423,18.04756191773617,65.98414503067848,199631.99364016065,0.19963199364016065
standard,10000,55965059833.79783,100.93100000003544,48.22675178591699,17.940000000071556,66.16675178598854,65088.072932485964,0.06508807293248596
glaum,10000,56609395180.841484,100.93100000003378,48.24220575850043,17.940000000064202,66.18220575856463,45879.199402925195,0.045879199402925196
new_more,10000,56692743195.19536,100.93100000000001,48.32294991665146,17.94,66.26294991665146,46245.750543153816,0.046245750543153816
base,1000,53656798986.07128,100.93100025547163,47.9019980872635,17.976313452316024,65.87831153957951,160480.1131616128,0.1604801131616128
standard,1000,55790180779.486115,100.93100000000572,48.11936099817835,17.940000000007245,66.0593609981856,72447.09342863709,0.07244709342863709
glaum,1000,55400765867.191444,100.93099999999995,48.09195843557101,17.94,66.03195843557101,85928.09658908632,0.08592809658908632
new_more,1000,56568984868.54725,100.93100000000027,48.250431104780084,17.94,66.19043110478009,52600.70143913756,0.052600701439137566
