scenario,split,total_cost_eur,offshore_capacity_gw,line_volume_ac,line_volume_dc,transmission_capacity_gw,curtailment_mwh,curtailment_twh
base,100000,417199697654.3553,45.24138232267577,157.98017486395648,129465.97302839244,129623.9532032564,330971.2611895858,0.3309712611895858
standard,100000,418678131769.9274,21.594701531706175,156.10942981869948,129488.39995555978,129644.5093853785,220091.8777515937,0.22009187775159372
glaum,100000,418844488209.31366,2.100973501749595,157.21323253106831,129544.40838623335,129701.62161876442,61213.34342867915,0.06121334342867915
new_more,100000,418865288244.1568,6.170991621591484,156.80928680474076,129534.35444621503,129691.16373301977,149869.47826002905,0.14986947826002905
base,10000,417147961097.71906,52.55431335447334,164.35800252123784,129470.55723870108,129634.9152412223,607492.9408568704,0.6074929408568703
standard,10000,418553232768.6858,20.45487023066028,156.161090023244,129485.27798179867,129641.43907182192,315432.4622318945,0.3154324622318945
glaum,10000,418641516347.38806,13.092738178435956,159.2831765960054,129516.36239155481,129675.64556815081,306701.66612488753,0.30670166612488753
new_more,10000,418790202174.0418,10.242443720267538,156.8832790275074,129529.04027250913,129685.92355153663,203962.69561764525,0.20396269561764524
base,1000,417016124822.5413,56.47124699062947,164.70459616444336,129469.96267543864,129634.66727160309,1204716.0280565643,1.2047160280565643
standard,1000,418533687386.079,21.412630482975455,156.78282756268973,129495.01706251047,129651.79989007315,355850.4301880065,0.3558504301880065
glaum,1000,418355856222.7121,26.05383427856874,157.00227656297125,129474.76060989236,129631.76288645533,538033.0306987636,0.5380330306987635
new_more,1000,418788917877.25165,10.646236331539443,156.66731591743027,129531.21636070525,129687.88367662269,187347.0038723148,0.1873470038723148
