scenario,split_km2,offshore_capacity_gw,n_offshore_buses,total_cost_beur,mean_wake_loss
base,100000,45.24138232267577,8,417.1996976543553,0.0
base,10000,52.55431335447334,8,417.1479610977191,0.0
base,1000,56.47124699062947,8,417.0161248225413,0.0
standard,100000,21.594701531706175,8,418.6781317699274,0.11450000000000002
standard,10000,20.45487023066028,8,418.5532327686858,0.11450000000000006
standard,1000,21.412630482975455,8,418.53368738607895,0.11450000000000002
glaum,100000,2.100973501749595,8,418.8444882093137,3.2377275146367155e-06
glaum,10000,13.092738178435956,8,418.64151634738806,2.20557444559038e-06
glaum,1000,26.05383427856874,8,418.3558562227121,1.167300593301031e-06
new_more,100000,6.170991621591484,8,418.8652882441568,0.1436875668275861
new_more,10000,10.242443720267538,8,418.7902021740418,0.14828441049266552
new_more,1000,10.646236331539443,8,418.78891787725166,0.15251902108000043
