scenario,split,region,tech,available_cf,dispatch_cf,curtailment_cf
base,100000,BE2 0AC,offwind-dc,0.5938659701081414,0.5938659701080816,5.972999872483342e-14
base,100000,DE2 0AC,offwind-dc,0.5837258025337415,0.583710805043941,1.4997489800494535e-05
base,100000,DK2 0AC,offwind-dc,0.595548014150497,0.595297338458267,0.00025067569222991803
base,100000,FR2 0AC,offwind-dc,0.5826198774371905,0.5826198774368101,3.8036240823657863e-13
base,100000,GB1 0AC,offwind-dc,0.5781400728390718,0.5375531784512603,0.04058689438781149
base,100000,NL2 0AC,offwind-dc,0.5788640904094802,0.5785825570745051,0.0002815333349750482
base,100000,GB4 0AC,offwind-ac,0.6001263368277429,0.5056298931329183,0.09449644369482457
base,100000,GB1 0AC,offwind-float,0.5698495307327452,0.40372707128895075,0.1661224594437945
base,100000,GB1 0AC,offwind-float,0.5681644634969553,0.3859695569842405,0.18219490651271475
base,100000,GB4 0AC,offwind-float,0.5767093234566315,0.43410362166587724,0.14260570179075427
base,100000,GB4 0AC,offwind-float,0.5929499785514185,0.4534039322633477,0.13954604628807082
base,100000,NL2 0AC,offwind-float,0.45268663068903936,0.32372241707053584,0.12896421361850352
base,100000,NO0 0AC,offwind-float,0.5560046511339667,0.5326846422028224,0.023320008931144276
base,100000,NO0 0AC,offwind-float,0.5829503540591671,0.5829503540591385,2.853273173286652e-14
base,100000,NO0 0AC,offwind-float,0.5675517113691178,0.552714117521694,0.01483759384742378
standard,100000,GB1 0AC,offwind-float,0.5045954472152228,0.3701278512042043,0.1344675960110185
standard,100000,GB1 0AC,offwind-float,0.503096835452296,0.35369764380253366,0.14939919164976234
standard,100000,GB4 0AC,offwind-float,0.5106503702432255,0.38833071422657356,0.1223196560166519
standard,100000,GB4 0AC,offwind-float,0.5250378768452316,0.4149615324510297,0.11007634439420194
standard,100000,NL2 0AC,offwind-float,0.40083499669323225,0.2785680490093106,0.12226694768392166
standard,100000,NO0 0AC,offwind-float,0.4923292180145152,0.4594130515912196,0.03291616642329559
standard,100000,NO0 0AC,offwind-float,0.5161895915177819,0.5161895835413648,7.976417082389275e-09
standard,100000,NO0 0AC,offwind-float,0.502548044811583,0.48359826478749646,0.018949780024086538
standard,100000,GB4 0AC,offwind-ac,0.5313741762097042,0.4792546810684559,0.05211949514124825
standard,100000,BE2 0AC,offwind-dc,0.5258481023171301,0.525838936996281,9.165320849047198e-06
standard,100000,DE2 0AC,offwind-dc,0.516889198143628,0.516857254374812,3.194376881598959e-05
standard,100000,DK2 0AC,offwind-dc,0.527357766530265,0.5260142112783659,0.001343555251899109
standard,100000,FR2 0AC,offwind-dc,0.5158709366117518,0.5158708212554873,1.1535626442960023e-07
standard,100000,GB1 0AC,offwind-dc,0.511943034498998,0.49443493231732316,0.017508102181674867
standard,100000,NL2 0AC,offwind-dc,0.5125712965537763,0.5121735040552623,0.00039779249851401577
glaum,100000,GB4 0AC,offwind-float,0.5371997628007714,0.48557090175928347,0.05162886104148795
glaum,100000,NL2 0AC,offwind-float,0.4101146324156617,0.30318594994233244,0.10692868247332926
glaum,100000,BE2 0AC,offwind-dc,0.5380357715725339,0.5378721565462155,0.00016361502631845326
glaum,100000,FR2 0AC,offwind-dc,0.5278276903587075,0.5278276903303952,2.8312241440175967e-11
glaum,100000,GB4 0AC,offwind-ac,0.5436758934455019,0.5244098432488338,0.01926605019666816
glaum,100000,NO0 0AC,offwind-float,0.5141824151318963,0.5141824151276777,4.21862544897067e-12
glaum,100000,NO0 0AC,offwind-float,0.44837472052219834,0.40540361384547424,0.0429711066767241
glaum,100000,GB1 0AC,offwind-float,0.5162772164618767,0.4394955194352313,0.07678169702664545
glaum,100000,GB1 0AC,offwind-float,0.45020756898415765,0.35987626110420134,0.0903313078799563
glaum,100000,GB1 0AC,offwind-float,0.3875967874037732,0.27721489330693655,0.11038189409683663
glaum,100000,GB1 0AC,offwind-float,0.5147439106942746,0.42714225246341275,0.08760165823086186
glaum,100000,GB1 0AC,offwind-float,0.4488704852622142,0.35205315798402775,0.09681732727818643
glaum,100000,GB1 0AC,offwind-float,0.38645146526556684,0.2755334527339308,0.11091801253163602
glaum,100000,GB4 0AC,offwind-float,0.5224723155735317,0.4626111928202985,0.05986112275323319
glaum,100000,GB4 0AC,offwind-float,0.4555773432300431,0.3818060813239989,0.07377126190604422
glaum,100000,GB4 0AC,offwind-float,0.3922005169965086,0.28342677139801464,0.10877374559849395
glaum,100000,NO0 0AC,offwind-float,0.5037270147048569,0.4963687142516669,0.007358300453190025
glaum,100000,NO0 0AC,offwind-float,0.4392502266160468,0.3931849490788798,0.04606527753716699
